Weather Station ID,Country,Name,Latitude,Longitude,Elevation,ICAO ID,WMO ID,IATA ID,Time Zone
6641,CH,Moehlin / Wallbach,47.5722,7.8778,344.0,,6641.0,,Europe/Zurich
6644,CH,Mosen / Aesch,47.2439,8.2328,452.0,,6644.0,,Europe/Zurich
6645,CH,Ruenenberg / Rünenberg,47.4344,7.8794,611.0,,6645.0,,Europe/Zurich
6646,CH,Beznau (kkw),47.5572,8.2333,325.0,,6646.0,,Europe/Zurich
6647,CH,Psi Wuerenlingen / Beznau,47.5383,8.2294,334.0,,6647.0,,Europe/Zurich
6648,CH,Egolzwil / Wauwil,47.1794,8.0047,521.0,,6648.0,,Europe/Zurich
6650,CH,Luzern / Kriens,47.0364,8.3008,454.0,,6650.0,,Europe/Zurich
6651,CH,Schuepfheim / Landbrugg,46.9469,8.0122,742.0,,6651.0,,Europe/Zurich
6655,CH,Engelberg,46.8219,8.4106,1036.0,,6655.0,,Europe/Zurich
6656,CH,Brienz / Kienholz,46.7408,8.0608,567.0,,6656.0,,Europe/Zurich
6659,CN,Alpnachstad / Pilatus Mtn,46.9789,8.2522,2106.0,,6659.0,,Europe/Zurich
6664,CH,Reckenholz / Bärenbohl,47.4278,8.5178,444.0,,6664.0,,Europe/Zurich
6666,CH,Leibstadt,47.5972,8.1883,341.0,,6666.0,,Europe/Zurich
6671,CH,Steckborn / Feldbach,47.6686,8.9814,398.0,,6671.0,,Europe/Zurich
6673,CH,Wadenswil / Eichmüli,47.2206,8.6778,485.0,,6673.0,,Europe/Zurich
6674,CH,Cham,47.1883,8.4656,440.0,,6674.0,,Europe/Zurich
6675,CH,Einsiedeln / Birchli,47.1331,8.7564,910.0,,6675.0,,Europe/Zurich
6676,CH,Oberaegeri / Oberägeri,47.1336,8.6081,724.0,,6676.0,,
6677,CH,Uetliberg / Bleiki,47.3514,8.4903,854.0,,6677.0,,
